time,count,activity
2026-05-02 12:37:12.995669,1,Low
2026-05-02 12:37:13.048929,1,Low
2026-05-02 12:37:13.109038,1,Low
2026-05-02 12:37:13.162469,1,Low
2026-05-02 12:37:13.221391,1,Low
2026-05-02 12:37:13.286906,1,Low
2026-05-02 12:37:13.331032,0,Low
2026-05-02 12:37:13.470593,1,Low
2026-05-02 12:37:13.591824,1,Low
2026-05-02 12:37:13.702728,1,Low
2026-05-02 12:37:13.803527,1,Low
2026-05-02 12:37:13.904263,1,Low
2026-05-02 12:37:14.011079,1,Low
2026-05-02 12:37:14.123767,1,Low
2026-05-02 12:37:14.217959,1,Low
2026-05-02 12:37:14.342098,1,Low
2026-05-02 12:37:14.464796,1,Low
2026-05-02 12:37:14.579487,1,Low
2026-05-02 12:37:14.720520,1,Low
2026-05-02 12:37:14.860206,1,Low
2026-05-02 12:37:15.013374,1,Low
2026-05-02 12:37:15.178304,1,Low
2026-05-02 12:37:15.362343,0,Low
2026-05-02 12:37:15.551464,0,Low
2026-05-02 12:37:15.728679,0,Low
2026-05-02 12:37:15.893865,0,Low
2026-05-02 12:37:15.998740,0,Low
2026-05-02 12:37:16.121913,0,Low
2026-05-02 12:37:16.240689,0,Low
2026-05-02 12:37:16.365498,0,Low
2026-05-02 12:37:16.489298,0,Low
2026-05-02 12:37:16.609975,0,Low
2026-05-02 12:37:16.720319,0,Low
2026-05-02 12:37:16.852013,0,Low
2026-05-02 12:37:16.966059,0,Low
2026-05-02 12:37:17.076744,0,Low
2026-05-02 12:37:17.174333,0,Low
2026-05-02 12:37:17.281837,0,Low
2026-05-02 12:37:17.399877,0,Low
2026-05-02 12:37:17.505516,0,Low
2026-05-02 12:37:17.623482,0,Low
2026-05-02 12:37:17.725225,0,Low
2026-05-02 12:37:17.825411,0,Low
2026-05-02 12:37:17.947674,0,Low
2026-05-02 12:37:18.059875,0,Low
2026-05-02 12:37:18.158530,0,Low
2026-05-02 12:37:18.260883,0,Low
2026-05-02 12:37:18.378142,0,Low
2026-05-02 12:37:18.473321,0,Low
2026-05-02 12:37:18.585143,1,Low
2026-05-02 12:37:18.693513,1,Low
2026-05-02 12:37:18.791421,1,Low
2026-05-02 12:37:18.917447,1,Low
2026-05-02 12:37:19.032433,1,Low
2026-05-02 12:37:19.139210,1,Low
2026-05-02 12:37:19.247426,1,Low
2026-05-02 12:37:19.363238,1,Low
2026-05-02 12:37:19.466008,1,Low
2026-05-02 12:37:19.579711,1,Low
2026-05-02 12:37:19.688038,0,Low
2026-05-02 12:37:19.800173,0,Low
2026-05-02 12:37:19.905310,0,Low
2026-05-02 12:37:20.009662,0,Low
2026-05-02 12:37:20.127265,0,Low
2026-05-02 12:37:20.237860,0,Low
2026-05-02 12:37:20.355719,1,Low
2026-05-02 12:37:20.470213,1,Low
2026-05-02 12:37:20.592045,1,Low
2026-05-02 12:37:20.706794,1,Low
2026-05-02 12:37:20.822721,0,Low
2026-05-02 12:37:20.928498,0,Low
2026-05-02 12:37:21.041175,0,Low
2026-05-02 12:37:21.141160,0,Low
2026-05-02 12:37:21.241323,0,Low
2026-05-02 12:37:21.357065,0,Low
2026-05-02 12:37:21.452063,0,Low
2026-05-02 12:37:21.553482,0,Low
2026-05-02 12:37:21.666040,0,Low
2026-05-02 12:37:21.771243,0,Low
2026-05-02 12:37:21.894800,0,Low
2026-05-02 12:37:21.998195,1,Low
2026-05-02 12:37:22.098538,0,Low
2026-05-02 12:37:22.217300,0,Low
2026-05-02 12:37:22.315373,0,Low
2026-05-02 12:37:22.407906,0,Low
2026-05-02 12:37:22.525158,0,Low
2026-05-02 12:37:22.627128,0,Low
2026-05-02 12:37:22.754906,0,Low
2026-05-02 12:37:22.876210,0,Low
2026-05-02 12:37:23.005470,0,Low
2026-05-02 12:37:23.123605,0,Low
2026-05-02 12:37:23.223788,0,Low
2026-05-02 12:37:23.354204,0,Low
2026-05-02 12:37:23.459483,1,Low
2026-05-02 12:37:23.577445,0,Low
2026-05-02 12:37:23.724875,0,Low
2026-05-02 12:37:23.859277,0,Low
2026-05-02 12:37:23.981338,0,Low
2026-05-02 12:37:24.096807,0,Low
2026-05-02 12:37:24.210997,0,Low
2026-05-02 12:37:24.310116,0,Low
2026-05-02 12:37:24.393891,0,Low
2026-05-02 12:37:24.495776,0,Low
